BEJ48-任心怡	67265418	407112
BEJ48-陈倩楠	67207817	327601
BEJ48-张爱静	67265495	480675
GNZ48-郭铱宁	67265541	722778
-CKG48-彭榆涵	67236697	867895
GNZ48-毕瑞珊	67313899	607507
SNH48-祁静	67313798	399672
SNH48-王菲妍	67189834	530388
BEJ48-刘闲	67303252	407110
BEJ48-金锣赛	67265498	528335
苏杉杉	67362271	327597
GNZ48-朱怡欣	67265514	530452
SNH48-王欣颜甜甜	67284484	677400
SNH48-张语格	67313770	1
SNH48-陈盼	67391008	677395
BEJ48-王雨煊	67284443	407168
顼凘炀	67362296	327600
GNZ48-高源婧	67333069	63557
王炯义	67199602	417325
BEJ48-程宇璐	67303325	825969
CKG48-毛译晗	67333166	614731
SNH48-孔肖吟	67333101	19
SNH48-戴萌	67199568	38
陈桂君	67370540	417311
SNH48-孙珍妮	67390920	286977
SNH48-钱蓓婷	67275458	36
BEJ48-柏欣妤	67275528	614528
GNZ48-邓惠恩	67333149	607511
GNZ48-郑丹妮	67256340	327575
SNH48-许佳琪	67217577	21
SNH48-谢天依	67207831	6743
GNZ48-肖文铃	67189786	327573
SNH48-杨令仪	67342164	677401
SNH48-易嘉爱	67199574	33
BEJ48-周湘	67207922	711746
GNZ48-陈珂	67246060	63548
SNH48-栾嘉仪	67352368	868349
SNH48-徐子轩	67313790	14
BEJ48-葛司琪	67236630	407104
SNH48-孙芮	67322480	8
SNH48-吕一	67265389	399631
BEJ48-陈美君	67236622	63549
BEJ48-孙晓艳	67303279	528329
万丽娜	67236607	25
SNH48-马凡	67189842	606343
GNZ48-冼燊楠	67189767	327572
BEJ48-兰昊	67207870	528336
SNH48-蒋舒婷	67333084	63561
SNH48-李星羽	67199656	677397
SNH48-刘洁	67284493	868352
BEJ48-王嘉瑜	67275543	679464
SNH48-江真仪	67342039	399662
姜杉	67284424	63560
SNH48-李宇琪	67303256	20
林思意	67217583	24
SNH48-邵雪聪	67275431	6737
SNH48-张雨鑫	67217613	5574
SNH48-吴哲晗	67217571	39
SNH48-温晶婕	67246085	11
GNZ48-陈俊宏	67380603	530433
刘炅然	67342073	1544
SNH48-杨韫玉	67265403	6746
黄婷婷	67265435	22
SNH48-黄彤扬	67265468	286976
曾艳芬	67217584	49
SNH48-李艺彤	67322469	16
SNH48-唐安琪	67313812	12
SNH48-周怡	67362239	49003
BEJ48-杨晔	67217598	407126
SNH48-邱欣怡	67352247	40
SNH48-沈之琳	67313805	9
SNH48-潘燕琦	67352304	399652
SNH48-赵晔	67313732	6429
BEJ48-李想	67313825	327594
SHY48-高崇	67189830	530385
王翠菲	67293873	417324
SNH48-袁雨桢	67265391	5
SNH48-陈问言	67207827	68
SNH48-李钊	67275459	6735
董艳芸	67207828	6
SNH48-刘静晗	67322504	480667
BEJ48-杨一帆	67207825	407135
SNH48-严佼君	67303260	63574
BEJ48-郑洁丽	67303277	480676
BEJ48-刘一菲	67275503	528337
SNH48-吴燕文	67207810	5564
李佳恩	67199599	286983
IDFT-王梓	67391028	874723
SNH48-陈思	67284428	37
李熙凝	67246094	480670
SNH48-刘佩鑫	67352253	46
SNH48-孙亚萍	67207898	593820
GNZ48-李沁洁	67199572	63564
SNH48-李晶	67265437	6734
IDFT-卞佳宁	67342194	874497
BEJ48-李诗彦	67342062	327593
SNH48-成珏	67284398	286973
姚祎纯	67370547	419966
